2002-02-25 06:10:57,693	mayra	aaahZ1ReZLKpO-	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:11:08,903	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:14:18,364	mayra	aaahZ1ReZLKpO-	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:14:29,466	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:16:54,049	mayra	aaahZ1ReZLKpO-	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:17:00,521	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:21:06,796	mayra	aaahZ1ReZLKpO-	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:21:16,274	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-25 06:28:03,715	mayra	aaahZ1ReZLKpO-	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 01:49:34,918		aaa4clZiQL--B1	login	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 01:51:54,465		aaa4clZiQL--B1	logout	wily coyote	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 02:05:29,500	mayra	aaa4clZiQL--B1	login	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
2002-02-26 02:11:55,690	mayra	aaa4clZiQL--B1	logout	null	null	null	192.168.1.102	192.168.1.102	{2, 3, 4, 5, 6, 7, 9}	/role/super-user
